2017/11/21 17:26:28 [error] 4386#0: *236 [lua] region_service.lua:26: detail(): FUCK YOU MAN: 4, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", subrequest: "/movie/index", host: "127.0.0.1"
2017/11/21 17:26:28 [error] 4386#0: *236 [lua] region_service.lua:26: detail(): FUCK YOU MAN: 4, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", subrequest: "/movie/index", host: "127.0.0.1"
2017/11/21 17:26:28 [error] 4386#0: *236 [lua] region_service.lua:26: detail(): FUCK YOU MAN: 4, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", subrequest: "/movie/index", host: "127.0.0.1"
2017/11/21 17:26:28 [error] 4386#0: *236 [lua] region_service.lua:26: detail(): FUCK YOU MAN: 4, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", subrequest: "/movie/index", host: "127.0.0.1"
2017/11/21 17:26:28 [error] 4386#0: *236 [lua] region_service.lua:26: detail(): FUCK YOU MAN: 4, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", subrequest: "/movie/index", host: "127.0.0.1"
2017/11/21 17:26:28 [error] 4386#0: *236 [lua] region_service.lua:26: detail(): FUCK YOU MAN: 4, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", subrequest: "/movie/index", host: "127.0.0.1"
2017/11/21 17:26:28 [error] 4386#0: *236 [lua] region_service.lua:26: detail(): FUCK YOU MAN: 4, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", subrequest: "/movie/index", host: "127.0.0.1"
2017/11/21 17:26:28 [error] 4386#0: *236 [lua] region_service.lua:26: detail(): FUCK YOU MAN: 4, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", subrequest: "/movie/index", host: "127.0.0.1"
2017/11/21 17:26:28 [error] 4386#0: *236 [lua] region_service.lua:26: detail(): FUCK YOU MAN: 4, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", subrequest: "/movie/index", host: "127.0.0.1"
2017/11/21 17:26:28 [error] 4386#0: *236 [lua] region_service.lua:26: detail(): FUCK YOU MAN: 4, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", subrequest: "/movie/index", host: "127.0.0.1"
2017/11/21 17:26:28 [error] 4386#0: *236 [lua] region_service.lua:26: detail(): FUCK YOU MAN: 4, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", subrequest: "/movie/index", host: "127.0.0.1"
2017/11/21 17:26:28 [error] 4386#0: *236 [lua] region_service.lua:26: detail(): FUCK YOU MAN: 4, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", subrequest: "/movie/index", host: "127.0.0.1"
